Local time,Open,High,Low,Close,Volume
07.05.2017,1555,1677,1544,1657,1875.4702
08.05.2017,1657,1753,1623,1746,1333.957
09.05.2017,1711,1766,1670,1752,1910.9262
10.05.2017,1780,1886,1776,1854,1615.8357999999998
11.05.2017,1830,1830,1651,1691,2544.9515999999994
16.05.2017,1799,1802,1711,1726,1393.2334
17.05.2017,1740,1782,1710,1769,2191.6729
18.05.2017,1769,1853,1743,1817,4230.1381
21.05.2017,1812,1883,1794,1882,2805.8045
22.05.2017,1882,1962,1852,1938,2066.9971
25.05.2017,2020,2298,1994,2148,3315.7886
28.05.2017,2149,2270,1973,2215,2576.4157000000005
29.05.2017,2233,2435,2190,2430,2300.5696
30.05.2017,2421,2799,2206,2463,2745.2596000000003
31.05.2017,2472,2662,2241,2242,3305.1374
05.06.2017,2117,2341,2090,2306,4914.641900000001
06.06.2017,2308,2353,2200,2248,5173.890200000002
07.06.2017,2259,2336,2129,2285,4976.6399
08.06.2017,2285,2475,2277,2409,2751.7061
11.06.2017,2411,2449,2368,2430,3176.2122000000004
14.06.2017,2505,2629,2501,2625,1807.9821
15.06.2017,2690,2939,2671,2870,2330.3414
18.06.2017,2870,2882,2734,2739,3009.0785000000005
19.06.2017,2739,2812,2609,2749,2840.5796000000005
20.06.2017,2749,2860,2748,2835,2314.4584999999997
25.06.2017,2923,3000,2427,2524,1535.2707
26.06.2017,2654,2785,2632,2700,2230.4817
27.06.2017,2701,2811,2522,2552,1409.5012
28.06.2017,2552,2557,2075,2360,2581.4021
29.06.2017,2360,2521,2303,2488,2666.0061
04.07.2017,2470,2585,2458,2580,2852.9625
05.07.2017,2597,2772,2584,2750,2297.8602
06.07.2017,2750,2780,2637,2658,1929.6846
09.07.2017,2658,2729,2569,2671,2315.9495
10.07.2017,2671,2734,2664,2707,2297.6472000000003
13.07.2017,2473,2556,2253,2344,2287.4016
16.07.2017,2345,2470,2264,2456,3055.4256
17.07.2017,2457,2596,2428,2592,2190.2608
18.07.2017,2592,2602,2502,2558,2301.3192
19.07.2017,2555,2566,2478,2502,1904.3344000000004
24.07.2017,2497,2585,2471,2558,1881.1323
25.07.2017,2558,2637,2544,2575,1821.6054
26.07.2017,2574,2622,2538,2610,1830.7816
27.07.2017,2610,2629,2578,2597,1838.2367
30.07.2017,2597,2609,2487,2515,1708.6850999999997
02.08.2017,2527,2539,2349,2384,1799.004
03.08.2017,2384,2408,2254,2328,2229.5533
06.08.2017,2328,2413,2242,2375,2342.849
07.08.2017,2375,2418,2307,2337,2207.7103
08.08.2017,2337,2352,2150,2158,2325.7328
13.08.2017,1865,2180,1855,2174,2085.3451
14.08.2017,2170,2394,2144,2348,2808.7494
15.08.2017,2348,2394,2216,2255,2357.3167
16.08.2017,2255,2729,2242,2729,2366.8129
17.08.2017,2730,2773,2613,2625,236.2493
22.08.2017,2785,2802,2720,2760,1883.1108
23.08.2017,2760,2777,2450,2467,2307.0185
24.08.2017,2467,2609,2403,2503,2093.1141
27.08.2017,2503,2597,2449,2584,1915.3727000000008
28.08.2017,2584,2833,2583,2754,2556.7239000000004
31.08.2017,2760,2890,2678,2885,2737.1260999999995
03.09.2017,2889,2924,2638,2743,3556.7646
04.09.2017,2738,2757,2667,2691,2524.0353999999998
05.09.2017,2691,2804,2649,2780,2240.1695
06.09.2017,2780,2877,2761,2832,2041.2182999999995
11.09.2017,3265,3423,3191,3340,2137.3518
12.09.2017,3341,3487,3339,3447,2520.3778
13.09.2017,3447,3454,3237,3362,2986.2769000000003
14.09.2017,3370,3457,3299,3425,2224.0569
17.09.2017,3425,3588,3404,3588,1677.9787000000003
20.09.2017,4010,4341,3978,4263,2546.7654
21.09.2017,4263,4450,3808,4072,2829.3283
24.09.2017,4072,4352,4057,4349,662.6668999999999
25.09.2017,4324,4476,4179,4328,1672.4831
26.09.2017,4326,4357,4190,4300,688.2292
01.10.2017,4118,4149,3964,3997,2026.0577000000003
